Id,Label,Family,sourceTaxonName,targetTaxonFamilyName
528,Brachyramphus marmoratus,Alcidae,1.0,
529,Bradybaena similaris,Bradybaenidae,2.0,
530,Brahea armata,Arecaceae,3.0,
531,Branta canadensis,Anatidae,4.0,
532,Brasenia schreberi,Cabombaceae,5.0,
533,Brassica rapa,Brassicaceae,2.0,
534,Brevoortia tyrannus,Clupeidae,2.0,
535,Bruchus pisorum,Curculionidae,1.0,
536,Bubalus bubalis,Bovidae,5.0,
537,Bubo scandiacus,Strigidae,1.0,
538,Bubo virginianus,Strigidae,5.0,
539,Bubulcus ibis,Ardeidae,1.0,
540,Bucephala albeola,Anatidae,9.0,
541,Bucephala clangula,Anatidae,2.0,
542,Burhinus oedicnemus,Burhinidae,1.0,
543,Bursera microphylla,Burseraceae,1.0,
544,Buteo jamaicensis,Accipitridae,4.0,
545,Buteo lineatus,Accipitridae,2.0,
546,Buteo platypterus,Accipitridae,1.0,
547,Buteo swainsoni,Accipitridae,1.0,
548,Butorides striata,Ardeidae,2.0,
549,Butorides virescens,Ardeidae,15.0,
550,Cacajao calvus,Pitheciidae,1.0,
551,Cacatua galerita,Cacatuidae,1.0,
552,Caccobius schreberi,Scarabaeidae,2.0,
553,Caedicia simplex,Tettigoniidae,1.0,
554,Caenorhabditis elegans,Rhabditidae,5.0,
555,Calidris alpina,Scolopacidae,15.0,
556,Calidris mauri,Scolopacidae,8.0,
